S3_LOG_BUCKET_OWNER,S3_LOG_BUCKET,S3_LOG_DATETIME,S3_LOG_IP,S3_LOG_REQUESTOR_ID,S3_LOG_REQUEST_ID,S3_LOG_OPERATION,S3_LOG_KEY,S3_LOG_HTTP_METHOD_URI_PROTO,S3_LOG_HTTP_STATUS,S3_LOG_S3_ERROR,S3_LOG_BYTES_SENT,S3_LOG_OBJECT_SIZE,S3_LOG_TOTAL_TIME,S3_LOG_TURN_AROUND_TIME,S3_LOG_REFERER,S3_LOG_USER_AGENT
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BZ6F8C88YD5Y0M,REST.GET.OBJECT,chunk_size_16777216.h5/test/289,GET /chunk_size_16777216.h5/test/289 HTTP/1.1,200,-,16777216,16777216,5897,152,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:54 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,4T20WGAXAC7Z8NN5,REST.GET.OBJECT,chunk_size_16777216.h5/test/356,GET /chunk_size_16777216.h5/test/356 HTTP/1.1,200,-,16777216,16777216,6804,118,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BH59CM1TC58J3K,REST.GET.OBJECT,chunk_size_16777216.h5/test/364,GET /chunk_size_16777216.h5/test/364 HTTP/1.1,200,-,16777216,16777216,9748,96,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BNH1AGEY3C2SQ2,REST.GET.OBJECT,chunk_size_16777216.h5/test/36,GET /chunk_size_16777216.h5/test/36 HTTP/1.1,200,-,16777216,16777216,15478,106,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BPWRGNXBWD072M,REST.GET.OBJECT,chunk_size_16777216.h5/test/488,GET /chunk_size_16777216.h5/test/488 HTTP/1.1,200,-,16777216,16777216,11205,144,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQ7XZBFF13QSQP,REST.GET.OBJECT,chunk_size_16777216.h5/test/262,GET /chunk_size_16777216.h5/test/262 HTTP/1.1,200,-,16777216,16777216,5340,159,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQFDHJRM646SBR,REST.GET.OBJECT,chunk_size_16777216.h5/test/418,GET /chunk_size_16777216.h5/test/418 HTTP/1.1,200,-,16777216,16777216,15215,154,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BSG7351TAMSQD6,REST.GET.OBJECT,chunk_size_16777216.h5/test/427,GET /chunk_size_16777216.h5/test/427 HTTP/1.1,200,-,16777216,16777216,16745,107,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BT57MDB5MRQ586,REST.GET.OBJECT,chunk_size_16777216.h5/test/171,GET /chunk_size_16777216.h5/test/171 HTTP/1.1,200,-,16777216,16777216,15745,139,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BTQ9ESCYV8D362,REST.GET.OBJECT,chunk_size_16777216.h5/test/451,GET /chunk_size_16777216.h5/test/451 HTTP/1.1,200,-,16777216,16777216,12237,128,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
