start,finish
1661454456.0573,1661454456.7418
1661454456.1295,1661454456.7552
1661454456.075,1661454456.7891
1661454456.0849,1661454456.882
1661454456.1209,1661454456.8958
1661454455.9968,1661454456.9675
1661454456.0661,1661454456.969
1661454456.0074,1661454456.9805
1661454456.1381,1661454456.9932
1661454456.1467,1661454457.0061
1661454456.6889,1661454457.1124
1661454456.7602,1661454457.2096
1661454456.7445,1661454457.2321
1661454456.7919,1661454457.2495
1661454456.1644,1661454457.4584
1661454457.0221,1661454457.474
1661454456.8994,1661454457.5483
1661454456.9707,1661454457.5512
1661454456.8846,1661454457.6073
1661454457.2351,1661454457.6309
1661454456.9956,1661454457.6666
1661454457.0117,1661454457.6802
1661454457.2531,1661454457.8924
1661454457.4607,1661454457.9542
1661454456.1558,1661454458.0674
1661454456.0944,1661454458.0746
1661454457.2124,1661454458.0858
1661454455.9866,1661454458.1453
1661454457.1158,1661454458.7945
1661454456.1116,1661454459.0883
1661454456.9835,1661454459.6302
1661454460.4891,1661454461.1234
1661454460.517,1661454461.1426
1661454460.508,1661454461.2001
1661454460.5349,1661454461.2219
1661454460.5736,1661454461.3161
1661454460.6224,1661454461.3342
1661454460.5259,1661454461.3754
1661454460.4982,1661454461.4473
1661454461.1491,1661454461.5755
1661454461.1291,1661454461.598
1661454460.6311,1661454461.69
1661454460.4697,1661454461.694
1661454461.3393,1661454461.746
1661454461.3212,1661454461.7735
1661454460.5637,1661454461.8174
1661454461.381,1661454461.9188
1661454461.4521,1661454461.9349
1661454461.2271,1661454461.962
1661454460.4568,1661454462.1213
1661454460.5445,1661454462.1342
1661454461.7513,1661454462.1467
1661454461.6969,1661454462.2203
1661454461.7782,1661454462.2897
1661454461.9234,1661454462.3919
1661454460.4799,1661454462.4204
1661454460.5534,1661454462.478
1661454461.6025,1661454462.8862
1661454460.6136,1661454462.9037
1661454461.581,1661454462.9142
1661454461.8228,1661454463.3325
1661454461.7119,1661454463.5209
1661454461.2047,1661454463.7076
1661454464.142,1661454464.7036
1661454464.188,1661454464.7545
1661454464.215,1661454464.7726
1661454464.1118,1661454464.8394
1661454464.2238,1661454464.8415
1661454464.2062,1661454464.8654
1661454464.1606,1661454464.9875
1661454464.7587,1661454465.1801
1661454464.7085,1661454465.1962
1661454464.1703,1661454465.2175
1661454464.1792,1661454465.378
1661454464.8703,1661454465.3921
1661454464.844,1661454465.4911
1661454464.1007,1661454465.5396
1661454465.1842,1661454465.6444
1661454465.2005,1661454465.6932
1661454464.7773,1661454465.6954
1661454465.382,1661454465.7737
1661454465.2216,1661454465.788
1661454465.3962,1661454465.9133
1661454464.2419,1661454465.9525
1661454465.6985,1661454466.091
1661454465.6484,1661454466.1033
1661454465.5449,1661454466.1276
1661454464.8562,1661454466.1596
1661454465.4952,1661454466.2648
1661454464.1225,1661454466.6433
1661454464.1515,1661454466.6567
1661454464.2326,1661454466.8252
1661454464.9913,1661454466.901
1661454464.1332,1661454467.0184
1661454464.1968,1661454467.2827
1661454467.7853,1661454468.3833
1661454467.7079,1661454468.4291
1661454467.7479,1661454468.4527
1661454467.8034,1661454468.565
1661454467.7391,1661454468.5671
1661454467.8298,1661454468.6047
1661454467.7661,1661454468.6076
1661454467.8384,1661454468.6321
1661454467.7574,1661454468.6468
1661454467.812,1661454468.7664
1661454468.4556,1661454468.8828
1661454467.7946,1661454468.9003
1661454467.7198,1661454468.9017
1661454468.6494,1661454469.1046
1661454468.4326,1661454469.109
1661454467.8206,1661454469.2183
1661454468.6355,1661454469.2361
1661454468.8861,1661454469.3348
1661454468.5689,1661454469.3409
1661454468.5812,1661454469.3846
1661454468.6093,1661454469.3992
1661454468.9034,1661454469.4358
1661454468.9148,1661454469.5352
1661454468.7691,1661454469.6267
1661454467.776,1661454469.7611
1661454469.1108,1661454469.7799
1661454469.2221,1661454469.797
1661454469.1246,1661454469.8377
1661454467.7297,1661454469.963
1661454468.6215,1661454470.1052
1661454468.3873,1661454470.8323
1661454467.696,1661454470.922
1661454471.7299,1661454472.3074
1661454471.7872,1661454472.3311
1661454471.85,1661454472.3747
1661454471.7784,1661454472.4916
1661454471.8055,1661454472.7335
1661454471.8143,1661454472.7614
1661454471.76,1661454472.7795
1661454471.8412,1661454472.8003
1661454471.8319,1661454472.8054
1661454472.3378,1661454472.8638
1661454472.3817,1661454472.8805
1661454471.7415,1661454472.9272
1661454471.8231,1661454472.9317
1661454472.3173,1661454472.9573
1661454472.4976,1661454472.9795
1661454472.7686,1661454473.2161
1661454471.7511,1661454473.2656
1661454472.8703,1661454473.4036
1661454472.934,1661454473.4316
1661454472.9849,1661454473.4614
1661454471.8589,1661454473.4673
1661454472.8246,1661454473.5848
1661454472.8861,1661454473.6021
1661454473.2222,1661454473.7142
1661454472.9639,1661454473.7605
1661454472.787,1661454473.9227
1661454472.8112,1661454473.9287
1661454471.868,1661454474.1942
1661454472.7402,1661454474.5656
1661454471.7961,1661454474.7711
1661454471.7696,1661454474.8535
1661454472.9455,1661454475.3206
1661454475.7015,1661454476.3893
1661454475.835,1661454476.4071
1661454475.8442,1661454476.4309
1661454475.768,1661454476.4485
1661454475.8086,1661454476.52
1661454475.8263,1661454476.5631
1661454475.7473,1661454476.5779
1661454475.8529,1661454476.6683
1661454475.7117,1661454476.6873
1661454475.7583,1661454476.8503
1661454476.3941,1661454476.8736
1661454475.7386,1661454476.8933
1661454476.454,1661454476.8987
1661454476.4129,1661454476.9283
1661454476.4366,1661454476.9901
1661454476.6916,1661454477.0773
1661454476.6729,1661454477.1885
1661454475.7292,1661454477.2188
1661454476.8549,1661454477.2688
1661454476.5243,1661454477.2945
1661454476.9327,1661454477.3698
1661454476.9943,1661454477.5201
1661454476.8813,1661454477.5555
1661454475.6912,1661454477.5764
