Date,Real Size,Transferred Size(MB),Read Size(MB),Returned Size(MB),Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Tue Sep 20 20:02:58 2022,4236247040,4096,64,8,37.4925,1663718578619,1663718634301,334.0
Tue Sep 20 20:04:02 2022,4282384384,4096,16,4,37.4751,1663718642869,1663718699091,176.0
Tue Sep 20 20:05:06 2022,1010827264,1024,64,4,11.2364,1663718706960,1663718737173,197.0
Tue Sep 20 20:05:55 2022,234881024,256,64,32,3.10867,1663718756343,1663718777843,1737.0
Tue Sep 20 20:06:29 2022,1061158912,1024,16,4,9.85631,1663718790310,1663718818757,164.0
Tue Sep 20 20:07:03 2022,1073741824,1024,4,4,10.0313,1663718824518,1663718853654,172.0
Tue Sep 20 20:07:38 2022,1073741824,1024,4,4,10.0982,1663718858593,1663718889482,183.0
Tue Sep 20 20:08:27 2022,1040187392,1024,64,32,10.6707,1663718907960,1663718936754,1551.0
Tue Sep 20 20:09:02 2022,4236247040,4096,64,8,37.1232,1663718942626,1663718998799,289.0
Tue Sep 20 20:10:06 2022,268435456,256,4,4,5.87344,1663719007026,1663719032552,170.0
Tue Sep 20 20:10:44 2022,1103101952,1024,4,32,14.7719,1663719044835,1663719078128,12924.0
Tue Sep 20 20:11:33 2022,1090519040,1024,16,32,10.8644,1663719093684,1663719123047,9219.0
Tue Sep 20 20:12:07 2022,1103101952,1024,4,32,13.8786,1663719127901,1663719162170,12020.0
Tue Sep 20 20:12:56 2022,4324327424,4096,4,32,39.565,1663719177418,1663719234780,37288.0
Tue Sep 20 20:14:00 2022,4261412864,4096,64,32,37.4741,1663719241127,1663719296647,14049.0
Tue Sep 20 20:15:04 2022,285212672,256,16,32,5.35776,1663719305176,1663719329217,1813.0
Tue Sep 20 20:15:39 2022,4286578688,4096,16,8,37.424,1663719339767,1663719395853,250.0
Tue Sep 20 20:16:43 2022,268435456,256,4,4,3.08727,1663719403917,1663719426658,226.0
Tue Sep 20 20:17:17 2022,1077936128,1024,4,8,10.9755,1663719437917,1663719467460,2560.0
Tue Sep 20 20:17:52 2022,4311744512,4096,16,32,40.3533,1663719473101,1663719532795,35959.0
Tue Sep 20 20:19:11 2022,260046848,256,16,8,5.05044,1663719552284,1663719576563,307.0
Tue Sep 20 20:19:45 2022,4299161600,4096,4,8,37.32,1663719586434,1663719642719,274.0
Tue Sep 20 20:20:50 2022,1010827264,1024,64,4,10.3163,1663719651067,1663719680197,164.0
Tue Sep 20 20:21:24 2022,4286578688,4096,16,8,37.4386,1663719685317,1663719741554,292.0
Tue Sep 20 20:22:28 2022,4286578688,4096,16,8,37.1807,1663719749342,1663719805601,3569.0
Tue Sep 20 20:23:32 2022,255852544,256,16,4,4.88146,1663719813408,1663719838924,182.0
Tue Sep 20 20:24:08 2022,205520896,256,64,4,2.4005,1663719848658,1663719870125,165.0
Tue Sep 20 20:24:42 2022,1065353216,1024,16,8,10.2792,1663719882583,1663719912515,268.0
Tue Sep 20 20:25:31 2022,4232052736,4096,64,4,37.5073,1663719932066,1663719988553,167.0
Tue Sep 20 20:26:36 2022,1061158912,1024,16,4,9.79992,1663719996800,1663720025569,148.0
Tue Sep 20 20:27:10 2022,1103101952,1024,4,32,13.9981,1663720030991,1663720064178,11989.0
Tue Sep 20 20:27:59 2022,4294967296,4096,4,4,37.568,1663720080391,1663720136957,160.0
Tue Sep 20 20:29:03 2022,1061158912,1024,16,4,10.2943,1663720144199,1663720173679,200.0
Tue Sep 20 20:29:53 2022,4261412864,4096,64,32,37.8884,1663720193891,1663720252050,9913.0
Tue Sep 20 20:30:58 2022,268435456,256,4,4,3.16655,1663720259516,1663720282552,177.0
Tue Sep 20 20:31:33 2022,272629760,256,4,8,3.32746,1663720294574,1663720316693,312.0
Tue Sep 20 20:32:08 2022,4294967296,4096,4,4,37.3894,1663720328982,1663720385572,178.0
Tue Sep 20 20:33:12 2022,260046848,256,16,8,5.32452,1663720392916,1663720417489,455.0
Tue Sep 20 20:33:46 2022,205520896,256,64,4,5.25516,1663720427141,1663720453248,158.0
Tue Sep 20 20:34:31 2022,234881024,256,64,32,3.27435,1663720472490,1663720494941,1945.0
Tue Sep 20 20:35:06 2022,234881024,256,64,32,2.77677,1663720506749,1663720528389,1693.0
Tue Sep 20 20:35:40 2022,4286578688,4096,16,8,37.3443,1663720540740,1663720596985,295.0
Tue Sep 20 20:36:44 2022,285212672,256,16,32,4.76327,1663720604832,1663720629633,1943.0
Tue Sep 20 20:37:18 2022,260046848,256,16,8,5.11901,1663720639157,1663720662684,291.0
Tue Sep 20 20:37:52 2022,1090519040,1024,16,32,11.2215,1663720672798,1663720702717,9635.0
Tue Sep 20 20:38:41 2022,4299161600,4096,4,8,37.3914,1663720722132,1663720778845,412.0
Tue Sep 20 20:39:45 2022,209715200,256,64,8,3.79141,1663720786198,1663720813612,278.0
